Абрикос Apricot 
Плесень Mold 
Плотность Density 
Плоть Flesh 
Плуг Plow 
Побег Escape 
Повар Cook 
Повторять Repeat 
Подвал Basement 
Пододеяльник Blanket cover 
Подошва Sole 
Подруга Friend 
Подставка Stand 
Подтверждать Confirm 
Подтверждение Confirmation 
Подшипник Bearing 
Подъем Rise 
Пожар Fire 
Позавчера Day before yesterday 
Позволять Allow 
Поздно Late 
Поздравлять Congratulate 
Позже Later 
Позор Shame 
Поймать Catch 
Покидать Leave 
Покрывать Cover 
Покупатель Buyer 
Покупка Purchase 
Полагаться Rely 
Полдень Noon 
Полдник Afternoon snack 
Полиция Police 
Полностью Completely 
Полночь Midnight 
Полный Full 
Половина Half 
Полоса Stripe 
Полуостров Peninsula 
Помогать Help 
Понимание Understanding 
Понять Understand 
Поражение Defeat 
Портить Spoil 
Портмоне Purse 
Порция Portion 
Порыв Impulse 
Посещение Visit 
Последовательность Sequence 
Последовательный Serial 
Последствия Effects 
Послезавтра Day after tomorrow 
Посмотреть See 
Посол Ambassador 
Поставка Delivery 
Постоянно Constantly 
Постоянный Permanent 
Посылать Send 
Посылка Parcel 
Поток Flow 
Похмелье Hangover 
Похожий Similar 
Почва Soil 
Почка Kidney 
Правда Truth 
Правило Rule 
Правильный Right 
Правительство Government 
Превосходный Excellent 
Превращение Transformation 
Предварительный Preliminary 
Предвосхищать Anticipate 
Предотвращать Prevent 
Предполагать Assume 
Предприниматель Entrepreneur 
Предсказывать Predict 
Представление Representation 
Предубеждение Prejudice 
Прекрасно Fine 
Пренебрегать Neglect 
Препятствие Obstacle 
Преследование Persecution 
Преследовать Chase 
Пресный Fresh 
Преступление Crime 
Претендовать Claim 
Прибывать Arrive 
Прибытие Arrival 
Привлекать Attract 
Пригород Suburb 
Признание Recognition 
Приключение Adventure 
Приличный Decent 
Приложение Application 
Применять Apply 
Пример Example 
Принадлежать Belong 
Природа Nature 
Прихоть Whim 
Причастие Communion 
Прическа Hairstyle 
Причудливый Bizarre 
Приём Reception 
Проблема Problem 
Пробовать Try 
Проверять Check 
Провожать See off 
Прогноз Forecast 
Прогулка Tour 
Продавать Sell 
Продавец Seller 
Продать To sell 
Продукты Products 
Проект Project 
Проектирование Design 
Проживать Reside 
Прозрачность Transparency 
Производство Production 
Пройти Get 
Прокат Rent 
Проклятие Curse 
Проницательный Astute 
Пропасть Gulf 
Проспект Avenue 
Против Against 
Противоположный Opposite 
Проходить Pass 
Прощай Farewell 
Пруд Pond 
Прямой Direct 
Прятать Hide 
Пугать Scare 
Пункт Item 
Пустой Empty 
Путать Confuse 
Путешествовать Travel 
Пчела Bee 
Пятно Spot 
Раб Slave 
Рабочий Working 
Рад Glad 
Радио Radio 
Радоваться Rejoice 
Радуга Rainbow 
Разбивать Break 
Развивать Develop 
Развёртывание Deployment 
Различный Different 
Размер Size 
Разница Difference 
Разнообразный Varied 
Разочарование Disappointment 
Разработка Development 
Разработчик Developer 
Разум Mind 
Раскрыть Reveal 
Расписание Schedule 
Распоряжение Disposal 
Распродажа Sale 
Рассказывать Tell 
Расследование Investigation 
Рассмотрение Consideration 
Рассчитывать Count on 
Расти Grow 
Растяжение Tension 
Расчет Calculation 
Расширять Expand 
Рвать Tear 
Рвота Vomiting 
Реализация Implementation 
Ревность Jealousy 
Регистрация Registration 
Регулировать Regulate 
Редкий Rare 
Результат Result 
Рейс Flight 
Репа Turnip 
Ресница Eyelash 
Рисунок Picture 
Робот Robot 
Ров Ditch 
Родственник Relative 
Ром Rum 
Россия Russia 
Рост Growth 
Ругать Abuse 
Ругаться Argue 
Рукав Sleeve 
Руководитель Manager 
Руководство Guide 
Русский Russian 
Рычаг Lever 
Рычание Growl 
Рядом Near 
Сад Garden 
Свадьба Wedding 
Свежий Fresh 
Светлый Light 
Светофор Traffic light 
Свеча Candle 
Свидетель Witness 
Свобода Liberty 
Свой Its 
Связанный Associated 
Сдаваться Surrender 
Сдача Change 
Сдвиг Shift 
Сезон Season 
Сейф Safe 
Секс Sex 
Сельдь Herring 
Серьга Earring 
Серьёзный Serious 
Сеть Network 
Сжатие Compression 
Сигарета Cigarette 
Сильно Strongly 
Синяк Bruise 
Система System 
Склон Slope 
Склонность Inclination 
Скрепка Clip 
Скромный Modest 
Скрывать Hide 
Скука Boredom 
Скучать Miss 
Скучный Boring 
Слава Fame 
След Trace 
Следовать Follow 
Следующий Next 
Случайно By chance 
Случаться Happen 
Смех Laughter 
Смешной Funny 
Смородина Currant 
Смущение Confusion 
Смущённый Embarrassed 
Собирать Collect 
Собираться Gather 
Собственность Property 
Событие Event 
Сова Owl 
Совершать Commit 
Совестный Conscientious 
Совесть Conscience 
Современный Modern 
Согласие Agreement 
Согласованность Coordination 
Содержать Contain 
Создавать Create 
Сознание Consciousness 
Сокращаться Contract 
Сокращение Reduction 
Сокровище Treasure 
Соленый Salt 
Сомневаться Doubt 
Сомнение Doubt 
Соответствие Correspondence 
Сопровождать Accompany 
Сорок Forty 
Сосна Pine 
Составлять Compose 
Состояние State 
Сотрудник Employee 
Сотрудничать Cooperate 
Сохранять Save 
Сочный Juicy 
Спасать Save 
Специя Spice 
Спешить Be in a hurry 
Спокойный Calm 
Спор Dispute 
Спорный Controversial 
Спорт Sport 
Способствовать Contribute 
Справедливость Justice 
Сравнить Compare 
Сразу At once 
Средний Average 
Ссылаться Refer 
Ставка Rate 
Стараться Try 
Статья Article 
Стейк Steak 
Степень Degree 
Степлер Stapler 
Стоить Cost 
Столкновение Collision 
Столовая Dining room 
Стопа Foot 
Сторона Side 
Страдать Suffer 
Страус Ostrich 
Страхование Insurance 
Страшный Terrible 
Стрела Arrow 
Стрелять Shoot 
Стройный Slender 
Стюардесса Stewardess 
Сувенир Souvenir 
Суд Court 
Судьба Fate 
Сумасшедший Crazy 
Супруг Spouse 
Суси Sushi 
Сухой Dry 
Существенный Significant 
Схватить Catch 
Табурет Stool 
Талия Waist 
Танцевать Dance 
Театр Theater 
Текст Text 
Текущий Current 
Тема Topic 
Темный Dark 
Тень Shadow 
Теперь Now 
Тепло Heat 
Тереть Rub 
Терпение Patience 
Терпеть Tolerate 
Терять Lose 
Тесто Dough 
Тигр Tiger 
Тихо Quietly 
Ткань Tissue 
Товарищ Friend 
Тогда Then 
Тоже Too 
Ток Current 
Толкать Push 
Толпа Crowd 
Томат Tomato 
Тополь Poplar 
Топор Axe 
Тормозить Break 
Торопиться Hurry up 
Точность Accuracy 
Точный Accurate 
Транспорт Transport 
Трансформатор Transformer 
Тратить Spend 
Трезвый Sober 
Треска Cod 
Тридцать Thirty 
Труд Labour 
Трус Coward 
Тряпка Rag 
Туман Fog 
Тумба Stand 
Тупик Deadlock 
Тут Here 
Тщательно Thoroughly 
Тюрьма Jail 
Убийство Murder 
Уборка Cleaning 
Уважение Respect 
Увеличивать Increase 
Уверенность Confidence 
Увлекательный Enthralling 
Увольнять Fire 
Угол Angle 
Уголь Coal 
Угрожать Threaten 
Угрюмый Morose 
Удалять Remove 
Удача Good luck 
Удивлять Surprise 
Удовлетворять Meet 
Ужас Horror 
Ужинать Supper 
Узнавать Learn 
Указывать Indicate 
Укрытие Shelter 
Уксус Vinegar 
Улитка Snail 
Улучшать Improve 
Улыбаться Smile 
Ум Mind 
Умереть Die 
Умываться Wash up 
Унитаз Wc pan 
Упаковка Packing 
Управление Management 
Управлять Govern 
Упражнение Exercise 
Ураган Hurricane 
Урод Freak 
Уродливый Ugly 
Усиление Strengthening 
Усталость Fatigue 
Усталый Tired 
Установить Establish 
Устраивать Arrange 
Уступка Concession 
Утомительный Tiresome 
Утром In the morning 
Участвовать Participate 
Учёба Studies 
Учёный Scientist 
Уютный Comfortable 
Фасоль Beans 
Фильм Film 
Флаг Flag 
Форель Trout 
Форма Form 
Фраза Phrase 
Футбол Football 
Халат Robe 
Характер Nature 
Хватать Suffice 
Хвост Tail 
Холм Hill 
Холод Cold 
Хомяк Hamster 
Храбрый Brave 
Храм Temple 
Хранилище Storage 
Хранить Store 
Хрен Horseradish 
Хрупкий Fragile 
Хруст Crunch 
Худой Thin 
Хуже Worse 
Хурма Persimmon 
Центр Center 
Цепь Chain 
Церковь Church 
Цыпленок Chicken 
Часть Part 
Чаша Cup 
Чердак Attic 
Черепаха Turtle 
Чернила Ink 
Честь Honor 
Четвертый Fourth 
Чечевица Lentil 
Чистить To clean 
Что-то Something 
Чувак Dude 
Чувства Feelings 
Шаг Step 
Шампунь Shampoo 
Шахматы Chess 
Шедевр Masterpiece 
Шестнадцать Sixteen 
Ширина Width 
Шоссе Highway 
Шпинат Spinach 
Штраф Fine 
Шуба Fur coat 
Шум Noise 
Шутка Joke 
Шёпот Whisper 
Щит Shield 
Щука Pike 
Щётка Brush 
Электричка Electric train 
Энергичный Energetic 
Юноша Youth 
Являть Show 
Янычар Janissary 
Японский Japanese 
Яркий Bright 
Ярость Rage 
Ясно Clear 
Ячмень Barley 
Ёж Hedgehog 
Ёлка Fir-tree
Авокадо Avocado
Агония Agony
Ад Hell
Адрес Address
Аккуратно Carefully
Аккуратный Neat
Активизировать Intensify
Акции Stock
Алкоголь Alcohol
Алфавит Alphabet
Аналогичный Similar
Ангел Angel
Английский English
Античный Antique
Арендовать Rent
Аромат Flavor
Архитектура Architecture
Бакенбарды Whiskers
Балка Beam
Бампер Bumper
Бардак Mess
Беда Trouble
Бедность Poverty
Бездельничать Loaf
Бездна Abyss
Безобидный Harmless
Безупречный Perfect
Бекон Bacon
Бесконечность Infinity
Бесконечный Infinite
Беспорядок Mess
Бессмысленный Meaningless
Бессознательный Unconscious
Бизнесмен Businessman
Бисквит Sponge cake
Благородный Noble
Благословлять Bless
Блаженство Bliss
Близкий Close
Блокировка Blocking
Богатство Wealth
Бормотать Mumble
Бороться Fight
Босоножки Sandals
Брак Marriage
Бриться Shave
Брокер Broker
Брокколи Broccoli
Будущий Future
Букет Bouquet
Булка Roll
Булочная Bakery
Бульон Broth
Бунт Riot
Буря Storm
Бывать Visit
Бывший Former
Вагон Wagon
Вафля Waffle
Вдова Widow
Вдруг Suddenly
Ведущий Leading
Ведьма Witch
Вежливость Politeness
Век Century
Великий Great
Величина Value
Вельвет Corduroy
Веник Broom
Вены Veins
Вера Faith
Верный Right
Ветрено Windy
Вечность Eternity
Вечный Eternal
Вещество Substance
Взаимно Mutually
Взаимосвязанный Interconnected
Взгляд View
Взлететь Take off
Взрослый Adult
Вид Form
Видный Prominent
Виза Visa
Висеть Hang
Вмешиваться Interfere
Внимание Attention
Внутри Inside
Внучка Granddaughter
Водолазка Turtleneck
Водопад Waterfall
Возврат Return
Возвращение Return
Возмездие Retaliation
Возможности Capabilities
Вознаграждение Remuneration
Возраст Age
Вой Howl
Волшебник Magician
Воображение Imagination
Вопросительный Interrogative
Вор Thief
Воровать Steal
Ворон Raven
Ворчание Grumble
Восемьдесят Eighty
Воспаленный Inflamed
Воспользоваться Take advantage of
Восприятие Perception
Восхищаться Admire
Восходящий Ascending
Восьмой Eighth
Вот Here
Впечатление Impression
Враждебность Hostility
Врать Lie
Всесторонний Comprehensive
Всплеск Splash
Вспомогательный Auxiliary
Вулкан Volcano
Выглядеть Look
Выделять Allocate
Выдерживать Withstand
Выживание Survival
Вылет Boom
Выносливость Endurance
Выплачивать Pay
Высокомерный Arrogant
Выступающий Projecting
Вытаскивать Pull out
Вытирать Wipe
Выучивать Learn
Выходной Day off
Гадюка Viper
Гайка Nut
Гарнир Garnish
Гвоздика Carnation
Где-либо Anywhere
Гигант Giant
Гид Guide
Глава Chapter
Глина Clay
Глотать Swallow
Глубина Depth
Головоломка Puzzle
Голод Hunger
Голосование Vote
Голубика Blueberry
Гордиться Be proud
Гордость Pride
Горе Grief
Гореть Burn
Горло Throat
Государство State
Готовиться Prepare
Готовность Readiness
Готовый Ready
Грабить Rob
Град Hail
Градус Degree
Гражданин Citizen
Гранат Pomegranate
График Schedule
Графический Graphic
Гроб Coffin
Громкий Loud
Груз Load
Группа Group
Грусть Sorrow
Гуманный Humane
Давление Pressure
Далее Further
Дача Country cottage
Дважды Twice
Дворник Janitor
Двусмысленный Ambiguous
Девятый Ninth
Делить Divide
Делиться Share
Дерзкий Pert
Десятый Tenth
Дефицитный Scarce
Джем Jam
Диалог Dialogue
Диапазон Range
Дикий Wild
Диктор Announcer
Диск Disk
Добавить Add
Добавлять Add
Добро Good
Доверять Trust
Договоренность Agreement
Доказанный Proven
Доказать Prove
Доктор Doctor
Документы Document
Долговязый Lanky
Должник Debtor
Должность Post
Долина Valley
Дополнительный Additional
Допущение Assumption
Досада Nuisance
Досуг Leisure
Дочка Daughter
Драгоценный Precious
Дракон Dragon
Древний Ancient
Дремать Nap
Дымоход Chimney
Дятел Woodpecker
Ежедневник Diary
Ездить Ride
Жадность Greed
Жалоба Complaint
Жаль Sorry
Жалюзи Venetian blinds
Железо Iron
Железобетон Reinforced concrete
Желудь Acorn
Жертвовать Sacrifice
Жидкость Liquid
Житель Inhabitant
Забастовка Strike
Заболевать Fall ill
Забота Care
Завидовать Envy
Зависеть Depend
Завистливый Envious
Завлекать Lure
Загрузка Loading
Загрязнение Pollution
Зад Ass
Задерживать Delay
Заикаться Stutter
Заинтересованный Interested
Заказчик Customer
Закон Law
Законодательство Legislation
Закуска Snack
Заменять Replace
Заметка Note
Заметный Noticeable
Замужем Married
Занимать Take
Запасной Spare
Запись Record
Запоминать Keep in mind
Запрещать Prohibit
Запрещенный Prohibited
Запугивание Intimidation
Запутаться Get entangled
Зарабатывать Earn
Заслуга Merit
Затор Congestion
Затхлый Musty
Захватывать Capture
Защита Protection
Заявка Application
Заявлять Claim
Звон Ringing
Звонить Call
Звук Sound
Здорово Cool
Зебра Zebra
Зелень Greens
Знакомить Acquaint
Знакомый Friend
Золотой Gold
Зондаж Sounding
Зять Son-in-law
Игла Needle
Извержение Eruption
Извращенец Pervert
Изгнание Expulsion
Изменение Change
Изменить Change
Изменять Change
Износ Wear
Изобретатель Inventor
Изобретать Invent
Изогнутый Curved
Имитировать Simulate
Инвентаризация Inventory
Индеец Indian
Иней Hoarfrost
Иностранец Foreigner
Интересоваться Wonder
Интернет Internet
Интуиция Intuition
Информация Information
Искажать Distort
Исключительно Esclusively
Исключительный Exceptional
Искоренять Eradicate
Искренне Sincerely
Исповедь Confession
Испорченный Damaged
Исправлять Correct
Исследовать Study
Истец Plaintiff
Истина Truth
Кальмар Squid
Камбала Flounder
Камин Fireplace
Карниз Cornice
Карта Map
Карьера Career
Кататься Ride
Качаться Swing
Качели Swing
Качество Quality
Квадрат Square
Квартал Quarter
Кефир Kefir
Килька Sprat
Кинза Cilantro
Кирпич Brick
Китай China
Китайский Chinese
Класс Class
Классический Classical
Клей Glue
Клык Fang
Клюв Beak
Коготь Claw
Комбинезон Overall
Компания Company
Компот Compote
Компромисс Compromise
Конкурировать Compete
Консервы Tinned food
Конституция Constitution
Контрабанда Smuggling
Контракт Contract
Концепция Concept
Коньки Skates
Корень Root
Коридор Corridor
Король King
Корона Crown
Косметичка Cosmetics bag
Космос Space
Косой Oblique
Костер Bonfire
Кофейник Coffeepot
Краб Crab
Красиво Nice
Краснеть Blush
Краткий Short
Крепость Fortress
Кроме Besides
Кронштейн Bracket
Крот Mole
Крутой Steep
Крышка Cover
Кто-либо Anyone
Кто-то Someone
Куб Cube
Купаться Bathe
Курган Mound
Курсы Courses
Лава Lava
Лайм Lime
Лапша Noodles
Ластик Eraser
Лгать Lie
Лебедь Swan
Левый Left
Легальный Legal
Лекарство Medicine
Линолеум Linoleum
Ловкость Dexterity
Логичность Consistency
Любезный Dear
Люк Hatch
Мазь Ointment
Малиновый Crimson
Манить Beck
Массив Array
Материал Stuff
Матрас Mattress
Махать Wave
Мгновение Instant
Мебель Furniture
Медленный Slow
Медсестра Nurse
Медь Copper
Мера Measure
Месть Revenge
Метафора Metaphor
Метель Snowstorm
Метр Meter
Мечеть Mosque
Мечник Swordsman
Микрофон Microphone
Миллион Million
Милость Mercy
Мишень Target
Мнение Opinion
Многие Many
Молчаливый Silent
Монтаж Installation
Мороз Frost
Морщины Wrinkles
Мотоцикл Motorcycle
Мощность Power
Мужество Courage
Мухомор Fly agaric
Мэр Mayor
Набережная Embankment
Наводнение Flood
Навыки Skills
Название Name
Называть Call
Наизусть By heart
Наклон Slope
Наливать Pour
Налоги Taxes
Например For example
Напротив Opposite
Насекомое Insect
Наследник Heir
Наследовать Inherit
Настоящий Present
Настройка Setting
Небольшой Small
Невеста Bride
Невестка Daughter-in-law
Невозможный Impossible
Негодование Resentment
Негодяй Scoundrel
Недавний Recent
Недавно Recently
Недовольство Discontent
Недостаточный Insufficient
Незнакомец Stranger
Некрасивый Plain
Нельзя Not
Немедленно Immediately
Немец German
Необходимо Necessary
Неопределенность Uncertainty
Неповрежденный Intact
Неподходящий Inappropriate
Непосредственно Directly
Неправильный Incorrect
Неприязнь Dislike
Нервировать Unnerve
Нервный Nervous
Несоответствие Discrepancy
Нечестный Dishonest
Нечётный Odd
Неясный Unclear
Низко Low
Нитка Thread
Нищий Beggar
Новинка Novelty
Нора Hole
Норвегия Norway
Нормально Normally
Нравиться Like
Обещание Promise
Обида Grievance
Обижаться Take offence
Облегчение Relief
Оборона Defense
Обратный Back
Обряд Rite
Обсуждать Discuss
Общеизвестно Notoriously
Общительный Sociable
Объяснить To explain
Объятие Hug
Обязанность Duty
Обязательно Necessarily
Обёртка Wrapper
Огнетушитель Fire extinguisher
Одеваться Dress
Одновременно At the same time
Однозначно Uniquely
Одобрение Approval
Ожерелье Necklace
Оказывается Turn out
Окрестность Neighborhood
Оплодотворение Fertilization
Оправданный Justified
Опрятный Neat
Оптика Optics
Опустить Lower
Опустошать Devastate
Опцион Option
Орхидея Orchid
Осведомленность Awareness
Освежиться Freshen up
Освещенный Alight
Освобождать Release
Осел Ass
Осквернение Desecration
Оскорбительный Offensive
Оскорбление Insult
Осторожный Cautious
Острить Wisecrack
Остроумный Witty
Осуществимый Feasible
Ось Axis
Отдавать To give
Открытие Opening
Отличительный Distinguishing
Отмена Cancellation
Относительно Relatively
Относится Concern
Относиться Concern
Отпрыгнуть Jump back
Отрыжка Belching
Отсутствовать Be absent
Отсутствующий Missing
Оттепель Thaw
Отчаянный Desperate
Официантка Waitress
Охотник Hunter
Охотно Readily
Охранять Guard
Ошеломлять Bemuse
Памятник Monument
Пансионат Pension
Парировать Parry
Парить Soar
Паркет Parquet
Парта Desk
Партия Party
Парус Sail
Пасмурный Cloudy
Паста Pasta
Пасть Jaws
Пах Groin
Паяльник Soldering iron
Певец Singer
Пекарня Bakery
Пена Foam
Пенал Pencil-case
Перевешивать Outweigh
Переводчик Translator
Передавать Transfer
Переезжать Move
Переключатель Switch
Переключить Switch
Перекрытие Overlap
Перемена Change
Переносица Bridge of the nose
Перепрыгивать Jump
Пересматривать Review
Печальный Sad
Печатать Print
Печать Seal
Пещера Cave
Пианино Piano
Пищевой Food
Планирование Planning
Пластик Plastic
Плата Fee
Плащ Cloak
Плеер Player
Племя Tribe
Плечистый Broad-shouldered
Плитка Tile
Плоский Flat
По-видимому Apparently
Победа Victory
Поглощать Absorb
Погреб Cellar
Погремушка Rattle
Погружение Immersion
Подвиг Feat
Подготовительный Preparatory
Подготовка Preparation
Подмышка Armpit
Подписка Subscription
Подпрыгнуть Jump up
Подразумевать Mean
Подрядчик Contractor
Подсказывать Prompt
Подстрекать Incite
Подходить Approach
Поехать Go
Позиция Position
Поклон Bow
Покой Rest
Покрытие Cover
Полет Flight
Ползать Crawl
Поливать Water
Полковник Colonel
Полый Hollow
Пончик Doughnut
Понятие Concept
Понятно Clear
Попугай Parrot
Поражать Strike
Порождать Generate
Поросёнок Piglet
Посадка Landing
Посвящать Devote
Последствие Consequence
Послушный Obedient
Пособие Allowance
Посредственный Mediocre
Поставщик Supplier
Постепенно Gradually
Посуда Dishes
Потребитель Consumer
Потрясающий Staggering
Похороны Funeral
Правитель Governor
Править Rule
Прачечная Laundry
Преданность Devotion
Предатель Traitor
Предательство Betrayal
Предисловие Preface
Предназначенный Intended
Предок Ancestor
Предоплата Prepayment
Предпосылка Prerequisite
Предпочитать Prefer
Предстоящий Coming
Предупреждать Warn
Предупреждение Warning
Предшественник Predecessor
Предыдущий Previous
Презирать Despise
Прекращаться Stop
Прекращение Termination
Прелесть Charm
Преодолевать Overcome
Преодолеть Overcome
Преподаватель Teacher
Прерывать Interrupt
Преступник Criminal
Преувеличивать Exaggerate
Приближаться Approach
Привкус Flavor
Привыкнуть Get accustomed
Приглашать Invite
Придумывать Invent
Призвать Call
Призрак Ghost
Приказ Order
Прикосновение Touch
Прилёт Arrival
Применение Application
Принести To bring
Приписывать Attribute
Притворяться Pretend
Прихожая Hallway
Проба Sample
Пробка Cork
Провал Failure
Проверить Verify
Проводник Conductor
Проворный Alert
Программа Program
Продолжать Continue
Производительность Performance
Производить Produce
Произносить Pronounce
Прокурор Attorney
Пролив Strait
Проливной Pouring
Проникновение Penetration
Пропускать Skip
Просить Request
Проститутка Prostitute
Простить To forgive
Простота Simplicity
Пространство Space
Профессия Profession
Проход Passage
Процветать Thrive
Прямоугольник Rectangle
Пуговица Button
Пустота Void
Пустыня Desert
Пшеница Wheat
Пылесос Vacuum cleaner
Пьяный Drunk
Пёстрый Mottled
Работодатель Employer
Равнина Plain
Радикальный Radical
Разведённый Separated
Развлекать Entertain
Развлечение Entertainment
Разворот U-turn
Раздраженный Irritated
Различать Discern
Разнообразие Diversity
Разносторонний Versatile
Разобраться To understand
Разочарованный Disappointed
Разочаровывать Disappoint
Разрешать Permit
Разумный Reasonable
Разъём Connector
Рак Cancer
Рана Wound
Раненый Wounded
Раньше Before
Раскаяние Contrition
Раскрывать Disclose
Раскрытие Disclosure
Распад Disintegration
Расплывчатый Vague
Распространение Distribution
Распространенный Common
Расстояние Distance
Рассуждение Reasoning
Растение Plant
Расточительный Wasteful
Растягивать Stretch
Расход Consumption
Реализовывать Implement
Ревнивый Jealous
Резервировать Reserve
Резина Rubber
Ремонт Repair
Рецепт Recipe
Рецидив Relapse
Рисковать Risk
Род Genus
Рождество Christmas
Розмарин Rosemary
Ромашка Chamomile
Роскошный Luxurious
Роща Grove
Рубанок Plane
Руда Ore
Румяный Rosy
Рывок Jerk
Рыдать Sob
Рыжий Red
Рябина Rowan
Сайт Site
Самогон Moonshine
Сарай Shed
Сауна Sauna
Сборка Assembly
Свекор Father-in-law
Свекровь Mother in law
Светильник Lamp
Свидание Date
Свидетельство Evidence
Свинец Lead
Свободный Free
Связывать Link
Священник Priest
Сделанный Made
Сдержанный Reserved
Сдерживать Restrain
Север North
Седьмой Seventh
Секретарь Secretary
Секунда Second
Сельский Rural
Серебристый Silver
Серебряный Silver
Сиреневый Lilac
Сирень Lilac
Скала Rock
Скамейка Bench
Скамья Bench
Склонный Prone
Скольжение Slip
Скромность Modesty
Скрытый Hidden
Скудный Poor
Скулить Whine
Скумбрия Mackerel
Скупой Mean
Славиться Be famous
Слеза Tear
Слепой Blind
Сложность Complexity
Служить Serve
Слух Hearing
Случайность Accident
Слякоть Slush
Смелый Bold
Смесь Mixture
Смутный Vague
Снаружи Outside
Снегопад Snowfall
Соблазнять Tempt
Соблюдение Observance
Собор Cathedral
Советовать Advise
Совещание Meeting
Совместный Joint
Содействие Assistance
Соединение Connection
Соединять Link
Сожалеть Regret
Созвездие Constellation
Создание Creation
Создать Create
Сокращать Reduce
Солнечный Sunny
Солонка Saltcellar
Сонный Sleepy
Сообщение Message
Соответственно Respectively
Соотношение Ratio
Сопротивляться Resist
Сортировка Sorting
Сосиска Sausage
Состоятельный Wealthy
Сотрудники Staff
Сотрудничество Cooperation
Спад Decline
Спасение Salvation
Спелый Ripe
Спецификация Specification
Спица Needle
Спортсмен Athlete
Способный Able
Сталкиваться Collide
Сталь Steel
Станция Station
Старший Senior
Стержень Rod
Стиль Style
Стимул Stimulus
Сто One hundred
Столица Capital
Стонать Groan
Стоп Stop
Стрижка Haircut
Строгий Strict
Строгость Severity
Суматоха Turmoil
Сумерки Twilight
Сумочка Handbag
Супермаркет Supermarket
Супруга Spouse
Сустав Joint
Суть Point
Существительное Noun
Существовать Exist
Сцена Scene
Сырой Raw
Таблетка Tablet
Таблица Table
Такой Such
Тапочка Slipper
Твердый Hard
Творчество Creativity
Темп Rate
Термометр Thermometer
Терраса Terrace
Тесть Father-in-law
Технический Technical
Теща Mother-in-law
Тимьян Thyme
То That
Толстовка Smock
Том Volume
Тонуть Drown
Торговля Trade
Торжество Triumph
Тормоз Brake
Точка Point
Травма Injury
Требование Requirement
Тревога Anxiety
Третий Third
Треть A third
Трещина Crack
Троллейбус Trolleybus
Тропинка Footpath
Трудность Difficulty
Трудный Difficult
Трудоголик Workaholic
Тугой Tight
Тунец Tuna
Тупость Stupidity
Туча Cloud
Тщеславие Vanity
Тысяча Thousand
Тюлень Seal
Тянуть Pull
Убегать Run
Убедительный Convincing
Убивать Kill
Убийца Killer
Убыток Loss
Уважаемый Respected
Уважать Respect
Увеличение Increase
Уволить Discharge
Удивление Astonishment
Удобрение Fertilizer
Уезжать Leave
Узор Pattern
Украина Ukraine
Украшать Decorate
Укреплять Strengthen
Улучшение Improvement
Умение Ability
Уменьшаться Decrease
Уместность Relevance
Уместный Relevant
Умывальник Washbasin
Умышленно Intentionally
Унижение Humiliation
Упаковывать Pack
Упоминать Mention
Упорствовать Persist
Упрощение Simplification
Условие Condition
Услуга Service
Успешный Successful
Успокаивать Calm
Успокаивающий Calming
Установка Installation
Установленный Set
Уступать Yield
Утвердительный Affirmative
Утвержденный Approved
Утес Cliff
Утешать Comfort
Ухаживать Care
Участие Participation
Участник Participant
Ушиб Injury
Фабрика Factory
Фазан Pheasant
Ферма Farm
Фиалка Violet
Финансы Finance
Финик Date
Финляндия Finland
Фломастер Felt-tip pen
Фотограф Photographer
Франция France
Фут Foot
Хвала Praise
Хвастать Brag
Хирург Surgeon
Хитрость Cunning
Хитрый Sly
Хозяин Owner
Хоккей Hockey
Хороший Good
Худеть Lose weight
Цепочка Chain
Череп Skull
Чертёж Drawing
Чехол Cover
Чинить Repair
Член Member
Чрезвычайно Extremely
Чрезмерный Excessive
Чувство Feeling
Чёткий Precise
Шанс Chance
Шататься Stagger
Шаткий Shaky
Швабра Mop
Швеция Sweden
Швырять Throw
Шелест Rustle
Шерсть Wool
Шестой Sixth
Шестьдесят Sixty
Шеф Chief
Шина Tyre
Шиповник Briar
Ширинка Fly
Широта Latitude
Шнурок Lace
Шрам Scar
Штекер Plug
Шторм Storm
Шурин Brother-in-law
Щенок Puppy
Экскаватор Excavator
Экскурсия Tour
Электроника Electronics
Электроплита Electric cooker
Электроподстанция Electric substation
Эффективный Effective
Эхо Echo
Явный Evident
Ягненок Lamb
Ягодица Buttock
Ядро Core
Якобы Allegedly
Яма Pit
Ящерица Lizard
Активы Assets
Акула Shark
Ароматный Fragrant
Баран Sheep
Баскетбол Basketball
Бездомный Homeless
Безналичный Non-cash
Безопасность Security
Безработный Unemployed
Безропотный Uncomplaining
Безумие Madness
Беременность Pregnancy
Бесплодный Barren
Благодаря Thanks to
Бой Battle
Болван Dummy
Больший Greater
Боярышник Hawthorn
Бронзовый Bronze
Бузина Elder
Буквально Literally
Быстрота Quickness
Введение Introduction
Вентиль Valve
Вермишель Vermicelli
Вернуть Return
Взаимность Reciprocity
Взаимодействие Interaction
Взбивать Whip up
Взболтать Shake up
Взрываться Explode
Видимость Visibility
Визитка Business card
Вместо Instead of
Внимательно Carefully
Водопроводчик Plumber
Возбуждать Excite
Возмущаться Resent
Воин Warrior
Волнующий Exciting
Вообразить Imagine
Воротник Collar
Воспоминание Reccollection
Восток East
Впоследствии Subsequently
Врезаться Crash
Всходить Rise
Вторгаться Invade
Вытеснять Displace
Вычислительный Computational
Гадость Muck
