act to	разыгрывать
Пылесос Vacuum cleaner
Пьяный Drunk
Пёстрый Mottled
Работодатель Employer
Равнина Plain
Радикальный Radical
Разведённый Separated
Развлекать Entertain
Развлечение Entertainment
Разворот U-turn
Раздраженный Irritated
Различать Discern
Разнообразие Diversity
Разносторонний Versatile
Разобраться To understand
Разочарованный Disappointed
Разочаровывать Disappoint
Разрешать Permit
Разумный Reasonable
Разъём Connector
Рак Cancer
Рана Wound
Раненый Wounded
Раньше Before
Раскаяние Contrition
Раскрывать Disclose
Раскрытие Disclosure
Распад Disintegration
Расплывчатый Vague
Распространение Distribution
Распространенный Common
Расстояние Distance
Рассуждение Reasoning
Растение Plant
Расточительный Wasteful
Растягивать Stretch
Расход Consumption
Реализовывать Implement
Ревнивый Jealous
Резервировать Reserve
Резина Rubber
Ремонт Repair
Рецепт Recipe
Рецидив Relapse
Рисковать Risk
Род Genus
Рождество Christmas
Розмарин Rosemary
Ромашка Chamomile
Роскошный Luxurious
Роща Grove
Рубанок Plane
Руда Ore
Румяный Rosy
Рывок Jerk
Рыдать Sob
Рыжий Red
Рябина Rowan
Сайт Site
Самогон Moonshine
Сарай Shed
Сауна Sauna
Сборка Assembly
Свекор Father-in-law
Свекровь Mother in law
Светильник Lamp
Свидание Date
Свидетельство Evidence
Свинец Lead
Свободный Free
Связывать Link
Священник Priest
Сделанный Made
Сдержанный Reserved
Сдерживать Restrain
Север North
Седьмой Seventh
Секретарь Secretary
Секунда Second
Сельский Rural
Серебристый Silver
Серебряный Silver
Сиреневый Lilac
Сирень Lilac
Скала Rock
Скамейка Bench
Скамья Bench
Склонный Prone
Скольжение Slip
Скромность Modesty
Скрытый Hidden
Скудный Poor
Скулить Whine
Скумбрия Mackerel
Скупой Mean
Славиться Be famous
Слеза Tear
Слепой Blind
Сложность Complexity
Служить Serve
Слух Hearing
Случайность Accident
Слякоть Slush
Смелый Bold
Смесь Mixture
Смутный Vague
Снаружи Outside
Снегопад Snowfall
Соблазнять Tempt
Соблюдение Observance
Собор Cathedral
Советовать Advise
Совещание Meeting
Совместный Joint
Содействие Assistance
Соединение Connection
Соединять Link
Сожалеть Regret
Созвездие Constellation
Создание Creation
Создать Create
Сокращать Reduce
Солнечный Sunny
Солонка Saltcellar
Сонный Sleepy
Сообщение Message
Соответственно Respectively
Соотношение Ratio
Сопротивляться Resist
Сортировка Sorting
Сосиска Sausage
Состоятельный Wealthy
Сотрудники Staff
Сотрудничество Cooperation
Спад Decline
Спасение Salvation
Спелый Ripe
Спецификация Specification
Спица Needle
Спортсмен Athlete
Способный Able
Сталкиваться Collide
Сталь Steel
Станция Station
Старший Senior
Стержень Rod
Стиль Style
Стимул Stimulus
Сто One hundred
Столица Capital
Стонать Groan
Стоп Stop
Стрижка Haircut
Строгий Strict
Строгость Severity
Суматоха Turmoil
Сумерки Twilight
Сумочка Handbag
Супермаркет Supermarket
Супруга Spouse
Сустав Joint
Суть Point
Существительное Noun
Существовать Exist
Сцена Scene
Сырой Raw
Таблетка Tablet
Таблица Table
Такой Such
Тапочка Slipper
Твердый Hard
Творчество Creativity
Темп Rate
Термометр Thermometer
Терраса Terrace
Тесть Father-in-law
Технический Technical
Теща Mother-in-law
Тимьян Thyme
То That
Толстовка Smock
Том Volume
Тонуть Drown
Торговля Trade
Торжество Triumph
Тормоз Brake
Точка Point
Травма Injury
Требование Requirement
Тревога Anxiety
Третий Third
Треть A third
Трещина Crack
Троллейбус Trolleybus
Тропинка Footpath
Трудность Difficulty
Трудный Difficult
Трудоголик Workaholic
Тугой Tight
Тунец Tuna
Тупость Stupidity
Туча Cloud
Тщеславие Vanity
Тысяча Thousand
Тюлень Seal
Тянуть Pull
Убегать Run
Убедительный Convincing
Убивать Kill
Убийца Killer
Убыток Loss
Уважаемый Respected
Уважать Respect
Увеличение Increase
Уволить Discharge
Удивление Astonishment
Удобрение Fertilizer
Уезжать Leave
Узор Pattern
Украина Ukraine
Украшать Decorate
Укреплять Strengthen
Улучшение Improvement
Умение Ability
Уменьшаться Decrease
Уместность Relevance
Уместный Relevant
Умывальник Washbasin
Умышленно Intentionally
Унижение Humiliation
Упаковывать Pack
Упоминать Mention
Упорствовать Persist
Упрощение Simplification
Условие Condition
Услуга Service
Успешный Successful
Успокаивать Calm
Успокаивающий Calming
Установка Installation
Установленный Set
Уступать Yield
Утвердительный Affirmative
Утвержденный Approved
Утес Cliff
Утешать Comfort
Ухаживать Care
Участие Participation
Участник Participant
Ушиб Injury
Фабрика Factory
Фазан Pheasant
Ферма Farm
Фиалка Violet
Финансы Finance
Финик Date
Финляндия Finland
Фломастер Felt-tip pen
Фотограф Photographer
Франция France
Фут Foot
Хвала Praise
Хвастать Brag
Хирург Surgeon
Хитрость Cunning
Хитрый Sly
Хозяин Owner
Хоккей Hockey
Худеть Lose weight
Цепочка Chain
Череп Skull
Чертёж Drawing
Чехол Cover
Чинить Repair
Член Member
Чрезвычайно Extremely
Чрезмерный Excessive
Чувство Feeling
Чёткий Precise
Шанс Chance
Шататься Stagger
Шаткий Shaky
Швабра Mop
Швеция Sweden
Швырять Throw
Шелест Rustle
Шерсть Wool
Шестой Sixth
Шестьдесят Sixty
Шеф Chief
Шина Tyre
Шиповник Briar
Ширинка Fly
Широта Latitude
Шнурок Lace
Шрам Scar
Штекер Plug
Шторм Storm
Шурин Brother-in-law
Щенок Puppy
Экскаватор Excavator
Экскурсия Tour
Электроника Electronics
Электроплита Electric cooker
Электроподстанция Electric substation
Эффективный Effective
Эхо Echo
Явный Evident
Ягненок Lamb
Ягодица Buttock
Ядро Core
Якобы Allegedly
Яма Pit
Ящерица Lizard
Активы Assets
Акула Shark
Ароматный Fragrant
Баран Sheep
Баскетбол Basketball
Бездомный Homeless
Безналичный Non-cash
Безопасность Security
Безработный Unemployed
Безропотный Uncomplaining
Безумие Madness
Беременность Pregnancy
Бесплодный Barren
Благодаря Thanks to
Бой Battle
Болван Dummy
Больший Greater
Боярышник Hawthorn
Бронзовый Bronze
Бузина Elder
Буквально Literally
Быстрота Quickness
Введение Introduction
Вентиль Valve
Вермишель Vermicelli
Вернуть Return
Взаимность Reciprocity
Взаимодействие Interaction
Взбивать Whip up
Взболтать Shake up
Взрываться Explode
Видимость Visibility
Визитка Business card
Вместо Instead of
Внимательно Carefully
Водопроводчик Plumber
Возбуждать Excite
Возмущаться Resent
Воин Warrior
Волнующий Exciting
Вообразить Imagine
Воротник Collar
Воспоминание Reccollection
Восток East
Впоследствии Subsequently
Врезаться Crash
Всходить Rise
Вторгаться Invade
Вытеснять Displace
Вычислительный Computational
Гадость Muck
Геодезист Land surveyor
Головокружение Vertigo
Грабли Rake
Грозный Formidable
Громкость Volume
Грузить Load
Губка Sponge
Действовать Act
Детство Childhood
Динамик Speaker
Долгий Long
Должны Have
Достойный Worthy
Дуть Blow
Дух Spirit
Жаворонок Lark
Жаркое Roast
Жевать Chew
Жених Groom
Жестоко Severely
Журавль Crane
Заваривать Brew
Зависимость Dependence
Задумчивый Thoughtful
Заклинание Spell
Закрытие Closing
Заместитель Deputy
Замечательно Remarkably
Замечательный Wonderful
Замечать Notice
Запад West
Запонка Stud
Запущен Launched
Заснуть Fall asleep
Застрявший Stuck
Засуха Drought
Зачет Offset
Защищать Protect
Здоровый Healthy
Зевать Yawn
Знамя Banner
Идеальный Ideal
Извлекать Extract
Измерять Measure
Иллюминатор Porthole
Инжир Fig
Ириска Toffee
Ископаемое Fossil
Исследователь Researcher
Кавалер Cavalier
Капитель Capital
Каракули Scribbles
Кеды Sneakers
Кекс Cake
Кета Chum
Кивать Nod
Кисточка Tassel
Командировка Business trip
Конечность Limb
Коротко Briefly
Костыли Crutches
Котёл Boiler
Красть Steal
Кратко Briefly
Краткосрочный Short-term
Крупа Grain
Крючок Hook
Кузен Cousin
Купленный Bought
Купон Coupon
Куропатка Partridge
Лазанья Lasagna
Лебёдка Winch
Лекция Lecture
Лентяй Idler
Липа Lime
Липучка Velcro
Лихорадочный Feverish
Лишать Deprive
Лодырь Slacker
Ложный False
Любопытный Curious
Маляр Painter
Марш March
Масштабируемость Scalability
Меньшинство Minority
Металл Metal
Мешок Bag
Мидия Mussel
Милостыня Charity
Министерство Ministry
Мирской Worldly
Модель Model
Модный Trendy
Мокасины Moccasins
Молитва Prayer
Моряк Sailor
Мочалка Batch sponge
Мышление Thinking
Наблюдатель Observer
Нагрузка Load
Нафталин Naphthalene
Нахальный Cheeky
Начинание Undertaking
Начинаться Begin
Небоскрёб Skyscraper
Недовольный Dissatisfied
Недооценивать Underestimate
Незамужняя Unmarried
Незначительно Insignificantly
Немедленный Immediate
Необычный Unusual
Неплохо Not bad
Непреклонный Inflexible
Неудачник Loser
Низший Lower
Обвинение Accusation
Обильный Abundant
Облачно Cloudy
Обломки Debris
Обоняние Sense of smell
Обучение Training
Общий Common
Объект Object
Объектив Lens
Обязанности Duty
Одиночество Loneliness
Одуванчик Dandelion
Определение Definition
Опустошённый Devastated
Осада Siege
Освобожден Released
Осознавать Realize
Отверстие Hole
Отвращение Aversion
Откровение Revelation
Отличный Excellent
Отопление Heating
Отряд Detachment
Отскок Rebound
Отставка Resignation
Отстой Sludge
Очаровательный Charming
Панда Panda
Патетический Pathetic
Паук Spider
Пейзаж Landscape
Пейсы Sidelocks
Пенис Penis
Пепел Ash
Перегородка Partition
Передатчик Transmitter
Переживать Experience
Перепись Census
Переулок Lane
Переучиваться Learn again
Персонаж Character
Пикап Pickup
Пилот Pilot
Питаться Feed
Питьевой Potable
Плавный Smooth
Пластырь Plaster
Платок Shawl
Плод Fetus
Плотный Dense
Повернуть Turn
Поводок Leash
Поворачивать Turn
Погон Shoulder strap
Подобный Similar
Подозреваемый Suspect
Подпись Signature
Подросток Teenager
Подчинённый Subordinate
Поздний Late
Поздравление Congratulation
Поиск Search
Политика Policy
Полученный Received
Пользователь User
Порок Defect
Порошок Powder
Порт Port
Поселенец Settler
Пот Sweat
Почетный Honorary
Прабабка Great-grandmother
Праздновать Celebrate
Предположительно Presumably
Предсказуемый Predictable
Представитель Representative
Предчувствие Premonition
Президент President
Претензия Claim
Приветствовать Welcome
Придерживаться Adhere
Придурок Moron
Признак Sign
Признательный Grateful
Призыв Call
Прикрытие Cover
Примерно About
Приправа Seasoning
Приток Inflow
Проблеск Glimpse
Проведение Holding
Программирование Programming
Программист Programmer
Продолговатый Oblong
Проклятый Damned
Просеивать Sift
Просматривать Browse
Просмотр Review
Просторный Spacious
Процент Percent
Прыжок Jump
Пустяк Trifle
Пыхтеть Pant
Радостный Joyful
Разводить Breed
Развратный Dissolute
Раздевать Undress
Раздражительный Irritable
Различаться Differ
Разъезды Traveling
Ракушка Shell
Расползаться Crawl away
Распространённый Common
Расходы Costs
Расчесывать Comb
Расширение Expansion
Ратуша Town hall
Рейд Raid
Рекомендовать Recommend
Ремесло Craft
Рукоятка Handle
Ручной Manual
Сажа Soot
Сварка Welding
Сварливый Grumpy
Свист Whistle
Сдавать Pass
Секрет Secret
Сжатый Compressed
Сироп Syrup
Скребок Scraper
Слишком Too
Слой Layer
Сметана Sour cream
Смирение Humility
Снисходительный Indulgent
Сокрытие Concealment
Сопровождаемый Accompanied
Сорт Grade
Сосать Suck
Сохранение Conservation
Спагетти Spaghetti
Спектакль Performance
Спортзал Gymnasium
Спотыкаться Stumble
Справка Reference
Справляться Cope
Сравнивать Compare
Срочный Urgent
Стойка Stand
Столяр Carpenter
Структура Structure
Стучать Knock
Стыдно Shame
Судак Zander
Судья Judge
Существенно Significantly
Существо Being
Счётчик Counter
Сытый Full
Таракан Cockroach
Таять Melt
Тенистый Shady
Традиция Tradition
Тревожный Alarming
Трель Trill
Трубка Tube
Туловище Trunk
Туфли-лодочки Court shoes
Тёмный Dark
Уведомление Notification
Уверять Assure
Удачный Successful
Удовлетворение Satisfaction
Усердный Hard
Условия Terms
Устаревший Outdated
Устройство Device
Утешение Consolation
Файл File
Фен Hairdryer
Фон Background
Фотокамера Camera
Французский French
Хлебница Breadbox
Хлопья Flakes
Хранение Storage
Цвести Bloom
Целовать Kiss
Цыган Gpisy
Частица Particle
Чек Cheque
Чередование Alternation
Черствый Stale
Чистилище Purgatory
Чудесный Wonderful
Шар Ball
Шланг Hose
Штанга Bar
Экономика Economics
Эмоция Emotion
Энергия Energy
Эскиз Sketch
Янтарь Amber
Ясный Clear
academy академия
actress актриса
agony агония
amnesty амнистия
anatomy анатомия
army армия
artery артерия
assembley ассамблея
attack атака
autonomy автономия
аxiom аксиома
ballad баллада
banknote банкнота
battery батарея
brigade бригада
brochure брошюра
bronze бронза
calorie калория
calque калька
category категория
cigar сигара
cigarette сигарета
clinic клиника
colleague коллега
сolonnade колоннада
colony колония
comedy комедия
comet комета
сompany компания
conservatory консерватория
contraband контрабанда
copy копия
elite элита
emblem эмблема
epopee эпопея
expertise экспертиза
fantastic фантастика
farm ферма
figure фигура
form форма
gallery галерея
group группа
guarantee гарантия
guitar гитара
idiom идиома
intrigue интрига
laboratory лаборатория
lagoon лагуна
lamp лампа
league лига
lottery лотерея
mask маска
melody мелодия
membrane мембрана
metaphor метафора
molecule молекула
monopoly монополия
mosaic мозаика
mystery мистерия
norm норма
оrbit орбита
palm пальма
parody пародия
pause пауза
petard петарда
philosophy философия
planet планета
platform платформа
poem поэма
рoetess поэтесса
prerogative прерогатива
press пресса
princess принцесса
prism призма
probe проба
problem проблема
programme программа
prose проза
pyramid пирамида
rocket ракета
rose роза
routine рутина
symphony симфония
system система
telegram телеграмма
terrace терраса
territory территория
vacancy вакансия
vase ваза
vein вена
videocassette видеокассета
zone зона
amphora амфора
antenna антенна
bandana бандана
claustrophobia клаустрофобия
coma кома
dogma догма
drama драма
encyclopedia энциклопедия
fauna фауна
flora флора
formula формула
gamma гамма
gorilla горилла
iguana игуана
liana лиана
mafia мафия
malaria малярия
mania мания
mass media масс-медиа
mimosa мимоза
paprika паприка
pizzeria пиццерия
polygraphy полиграфия
propaganda пропаганда
soda сода
veranda веранда
villa вилла
visa виза
yoga йога
anarchy анархия
аpathy апатия
catastrophe катастрофа
ceremony церемония
choreography хореография
chromosome хромосома
cistern цистерна
discipline дисциплина
era эра
firm фирма
geography география
geometry геометрия
hematoma гематома
history история
industry индустрия
logic логика
marionette марионетка
medicine медицина
melancholy меланхолия
mile миля
minute минута
opera опера
sauna сауна
schema схема
second секунда
sphere сфера
statue статуя
submarine субмарина
theorem теорема
theory теория
therapy терапия
trauma травма
uniform униформа
utopia утопия
vaccine вакцина
zebra зебра
acrobatics акробатика
athletics атлетика
cosmetics косметика
economics экономика
logistics логистика
mathematics математика
phonetics фонетика
physics физика
politics политика
statistics статистика
base база
colonnade /колэнэ́йд/-колоннада
date дата
decade декада
membrane /мэ́мбрэйн/-мембрана
phrase фраза
ambition амбиция
coalition коалиция
communication коммуникация
concentration концентрация
consultation консультация
convention конвенция
cooperation кооперация
coronation коронация
delegation делегация
dissertation диссертация
erudition эрудиция
fiction фикция
illustration иллюстрация
imitation имитация
inflation инфляция
innovation инновация
integration интеграция
intonation интонация
intuition интуиция
lustration люстрация
motivation мотивация
operation операция
ovation овация
portion порция
position позиция
presentation презентация
proportion пропорция
radiation радиация
reaction реакция
reputation репутация
section секция
sensation сенсация
transplantation трансплантация
vaccination вакцинация
civilization цивилизация
corruption коррупция
function функция
improvisation импровизация
injection инъекция
mutation мутация
privatization приватизация
punctuation пунктуация
registration регистрация
reproduction репродукция
acacia акация
commerce коммерция
correspondence корреспонденция
distance дистанция
inertia инерция
jurisprudence юриспруденция
police полиция
radio рация
residence резиденция
substance субстанция
tendency тенденция
aggression агрессия
annexation аннексия
commission комиссия
compression компрессия
confession конфессия
conversion конверсия
depression депрессия
emission эмиссия
expansion экспансия
expression экспрессия
flexion флексия
mission миссия
obsession обсессия
pension пенсия
procession процессия
profession профессия
progression прогрессия
reflection рефлексия
regression регрессия
remission ремиссия
repression репрессия
session сессия
transmission трансмиссия
convulsion конвульсия
discussion дискуссия
dispersion дисперсия
emulsion эмульсия
excursion экскурсия
reversion реверсия
version версия
anorexia анорексия
anoxia аноксия
apoplexy апоплексия
ataraxia атараксия
ataxia атаксия
biopsy биопсия
cassia кассия
epilepsy эпилепсия
epitaxy эпитаксия
fuchsia фуксия
hypoxia гипоксия
medical board медкомиссия
allergy аллергия
anаlogy аналогия
biology биология
cardiology кардиология
chronology хронология
dermatology дерматология
dramaturgy драматургия
ecology экология
energy энергия
etymоlogy этимология
gastroenterology гастроэнтерология
geology геология
ideology идеология
metallurgy металлургия
methodology методология
morphology морфология
mythology мифология
nanotechnology нанотехнология
numerology нумерология
oncology онкология
orgy оргия
pathology патология
philology филология
physiology физиология
sexology сексология
sociology социология
strategy стратегия
technology технология
terminology терминология
trilogy трилогия
typology типология
zoology зоология
board коллегия
demagogy демагогия
dentistry стоматология
magic магия
neuralgia невралгия
nostalgia ностальгия
privilege привилегия
religion религия
surgery хирургия
alcohol алкоголь
alcoholic алкоголик
alcoholism алкоголизм
formaldehyde формальдегид
hamburger гамбургер
harmony гармония
heroic героический
hetman гетман
homosexual гомосексуальный
horizontal горизонтальный
hospital госпиталь
humanism гуманизм
hyena гиена
hymn гимн
hypermarket гипермаркет
cement цемент, цементный
cent цент
center центр
central центральный
citrus цитрус, цитрусовый
concept концепт
cylinder цилиндр
сynic циник
egocentric эгоцентрик, эгоцентрический
incest инцест
incident инцидент
municipal муниципальный
officer офицер
pesticide пестицид
prince принц
receipt рецепт
specific специфический
sport-center спорт-центр
appetite аппетит
autobiography автобиография
automobile автомобиль
biathlon биатлон
client клиент
climate климат
compromise компромисс
crocodile крокодил
diagram диаграмма
dialect диалект
dialogue диалог
diamond диамант
diaphragm диафрагма
diet диета
finance финансы
icon икона
idol идол
irony ирония
malachite малахит
meteorite метеорит
microphone микрофон
microscope микроскоп
minus минус
pantomime пантомима
reptile рептилия
pilot пилот
pirate пират
prize приз
рython /пайсэн/-питон
rice рис
satire сатира
siren сирена
style стиль
stylist стилист
suicide суицид
textile текстиль
tranquilizer транквилизатор
triumph триумф
vampire вампир
absolute абсолютный
abstract абстрактный
active активный
administrative административный
aggressive агрессивный
brutal брутальный
collective коллективный
colossal колоссальный
competent компетентный
concrete конкретный
correct корректный
criminal криминальный
delicate деликатный
effective эффективный
elegant элегантный
extravagant экстравагантный
fictive фиктивный
final финал, финальный
global глобальный
legal легальный
liberal либеральный
local локальный
massive массивный
mental ментальный
mineral минеральный
naive наивный
negative негативный
parallel параллельный
passive пассивный
personal персональный
perspective перспективный
positive позитивный
primitive примитивный
progressive прогрессивный
radical радикальный
radioactive радиоактивный
real реальный
sentimental сентиментальный
tolerant толерантный
total тотальный
vocal вокальный
actual актуальный
amoral аморальный
cement цементный
comatose коматозный
confidential конфиденциальный
conservative консервативный
constructive конструктивный
creative креативный
deductive дедуктивный
destructive деструктивный
exclusive экслюзивный
formal формальный
fundamental фундаментальный
general генеральный
grandiose грандиозный
ideal идеальный
intellectual интеллектуальный
intuitive интуитивный
legendary легендарный
maximum максимальный
minimum минимальный
national национальный
normal нормальный
original оригинал, оригинальный
popular популярный
potential потенциальный
prestigious престижный
private приватный
professional профессиональный
provincial провинциальный
rationale рациональный
regular регулярный
serious серьёзный
sexual сексуальный
social социальный
turbulent турбулентный
universal универсальный
verbal вербальный
vertical вертикальный
virtual виртуальный
visual визуальный
green зелёный
аutonomous автономный
еphemeral эфемерный
clear явный, понятный
fashionable модный
important важный
innovative инновационный
legal законный
lunar лунный
sleepy сонный
smart умный
spontaneous спонтанный
turbid мутный
wonderful великолепный
young юный
analytic аналитичный
aristocratic аристократичный
asymmetric асимметричный
automatic автоматический
catastrophic катастрофический
chauvinistic шовинистический
democratic демократичный
egocentric эгоцентрический
energetic энергичный
epic эпический
exotic экзотичный
fantastic фантастичный
gothic готический
microscopic микроскопический
organic органичный
patriotic патриотичный
photogenic фотогеничный
poetic поэтичный
pragmatic прагматичный
public публичный
romantic романтичный
sarcastic саркастический
symmetric симметричный
systematic систематичный
accent акцент
acrobat акробат
actor актёр
administrator администратор
admiral адмирал
address адрес
advocate адвокат
agent агент
airport аэропорт
album альбом
alibi алиби
alligator аллигатор
altar алтарь
amateur аматор
America Америка
amulet амулет
analytic аналитический, аналитик
anarchist анархист
anecdote анекдот
angel ангел
antifreeze антифриз
antiseptic антисептик
anus анус
aphorism афоризм
apocalypsе апокалипсис
apostle апостол
April апрель
aqualung акваланг
aquarium аквариум
arena арена
argument аргумент
arrest арест, арестовывать
article артикль
artifact артефакт
aspect аспект
aspirin аспирин
assistant ассистент
asteroid астероид
astronaut астронавт, космонавт
atheism атеизм
atlas атлас
atom атом
attribute атрибут
audio аудио
autograph автограф
avenue авеню
avocado авокадо
bacon бекон
badminton бадминтон
baggage багаж
baguette багет
balance баланс
ballast балласт
ballet балет
bandit бандит
bank банк
banner баннер
banquet банкет
bar бар
barbecue барбекю
baritone баритон
barman бармен
barometer барометр
baron барон
basketball баскетбол
beat бить
bedouin бедуин
bestseller бестселлер
bidet биде
biker байкер
billiard бильярд
blender блендер
blockbuster блокбастер
blog блог
bobsleigh бобслей
body art боди-арт
bodybuilding бодибилдинг
boiler бойлер
bonus бонус
booklet буклет
bouillon бульон
boutique бутик
bowling боулинг
box бокс
boxer боксёр
boycott бойкот, бойкотировать
bracelet браслет
brand бренд
brandy бренди
breeze бриз
broccoli брокколи
broker брокер
browser браузер
brunette брюнетка
budget бюджет
bulldog бульдог
bulldozer бульдозер
bureau бюро
bureaucrat бюрократ
business бизнес
butterfly баттерфляй
cable кабель
cactus кактус
caffeine кофеин
calculator калькулятор
calendar календарь
call center колл-центр
camera камера, фотоаппарат
canal канал
candidate кандидат
cannibal каннибал
canoe каноэ
canyon каньон
capital капитал
captain капитан
caramel карамель
caravan караван
carnival карнавал
carousel карусель
carp карп
carting картинг
casino казино
casting кастинг
catalog каталог
catholic католик
certificate сертификат, сертифицировать
chameleon хамелеон
champion чемпион
character характер
chauvinist шовинист
check чек
cheesecake чизкейк
chocolate шоколад
cinematograph кинематограф
class класс
cliché клише
clip клип
coach коуч, тренер
cobalt кобальт
cocktail коктейль
code код
cognac коньяк
cola кола
collapse коллапс
college колледж
colonist колонист
combine комбайн
comic комик
commander командор, командир
commentator комментатор
communist коммунист
compass компас
complex комплекс
component компонент
computer компьютер
concert концерт
conditioner кондиционер
conglomerate конгломерат
congress конгресс
consulting консалтинг
contact контакт, контактировать
container контейнер
context контекст
continent континент
contrabass контрабас
contract контракт
control контроль, контролировать
converter конвертер
conveyer конвейер
copywriter копирайтер
coriander кориандр
corridor коридор
cosmos космос
costume костюм
court корт
crab краб
cream крем, сливки
credit кредит
criteria критерии
criterion критерий
critic критик
croissant круассан
crossword кроссворд
cruise круиз
crystal кристалл
curator куратор
Сossack казак
deadline дедлайн
dealer дилер
debate дебаты, вести дебаты
decorator декоратор
default дефолт
deficit дефицит
demagogue демагог
demon /ди́:мэн/-демон
demonstrator демонстрант
dentist дантист
deodorant дезодорант
department департамент
design дизайн
dessert десерт
details детали
detective детектив
detector детектор
dictator диктатор
dilettante дилетант
director директор
disc диск
discomfort дискомфорт
display дисплей
distributor дистрибьютор
docent доцент
doctor доктор
dolphin дельфин
dominant доминанта
domino домино
donor донор
donut пончик
dragon дракон
dress code дресс-код
driver драйвер
economist экономист
ecosystem экосистема
egoism эгоизм
elixir эликсир
ellipse эллипс
engineer инженер
enthusiasm энтузиазм
epileptic эпилептик
episode эпизод
equator экватор
equivalent эквивалент
escalator эскалатор
etiquette этикет
excavator экскаватор
exclusive эксклюзивный, эксклюзив
exotic экзотический
exponent экспонент
export экспорт
express экспресс
extract экстракт
extreme экстрим
extremist экстремист
fact факт
factor фактор
fake фейк
fanatic фанатик
farmer фермер
fascism фашизм
fast food фаст-фуд
fax факс
feedback фидбэк
ferment фермент
festival фестиваль
fiasco фиаско, поражение
file файл
film фильм, снимать на видео
filter фильтр
finish финиш, финишировать
fitness фитнес
florist флорист
focus фокус
football футбол
forum форум
fountain фонтан
fragment фрагмент
franchiser франчайзер, продавец франшизы
franchising франчайзинг
fresco фреска
gallop галоп
gangster гангстер
gas газ, газовый
generator генератор
ghetto гетто
gin джин
giraffe жираф
gladiator гладиатор
gladiolus гладиолус
goal гол
goalkeeper голкипер, вратарь
goose гусь, гусыня
goulash гуляш
gram грамм
granite гранит
graphic график
gymnast гимнаст
hall холл
handball гандбол
hip-hop хип-хоп
hippy хиппи
hobby хобби
holding холдинг
hooligan хулиган
hot dog хот-дог
idiot идиот
ignore игнорировать
illuminator иллюминатор
image имидж
immigrant иммигрант
import импорт
index индекс
ingredients ингредиенты
instinct инстинкт
instructor инструктор
instrument инструмент
interest интерес
internet Интернет
interval интервал
interview интервью
invalid инвалид
investor инвестор
іnstitute институт
jacket жакет
jazz джаз
jeans джинсы
jockey жокей
joker джокер
journal журнал, ежедневник
journalist журналист
joystick джойстик
jumper джампер / джемпер
kaleidoscope калейдоскоп
kangaroo кенгуру
karate каратэ
ketchup кетчуп
killer киллер
kilo килограмм
kilometer километр
kiosk киоск
kiwi киви
knock-out нокаут
know-how ноу-хау
lady леди
latex латекс
lava лава
leader лидер
leasing лизинг
lemon лимон
lemonade лимонад
liberalism либерализм
libretto либретто
lift лифт
lime лайм
limit лимит
limousine лимузин
litre литр
lobster лобстер
logarithm логарифм
login логин
loser лузер, неудачник
lotus лотос
lunatic лунатик
lunch ланч
macaroni макароны
machinist машинист
maestro маэстро
magnate магнат
magnet магнит
manager менеджер
mandarin мандарин
mango манго
maniac маньяк
manicure маникюр
manifesto манифест
margarine маргарин
marinade маринад
marker маркер
marketing маркетинг
marmаlade мармелад
masquerade маскарад
master мастер
match матч
mattress матрац/матрас
maximum максимум, максимальный
mayonnaise майонез
mechanic механик
mechanism механизм
medal медаль
meeting митинг
melancholic меланхолик
memorandum меморандум
memorial мемориал
menu меню
merchandising мерчендайзинг
metabolism метаболизм
metal металл
metre метр
metro метро
millionaire миллионер
mini bar мини-бар
minimum минимальный, минимум
minister министр
mirage мираж
miss мисс
missis миссис
mix микс, смешивать
mixer миксер
model модель
mojito мохито
moment момент
monastery монастырь
monitor монитор
monitoring мониторинг
monologue монолог
monster монстр
montage монтаж
moral мораль
morgue морг
motel мотель
motive мотив
mozzarella моцарелла
mutant мутант
myth миф
narcotic наркотик
negative негативный, негатив
neon неон, неоновый
nickel никель
nickname никнейм
notebook ноутбук, блокнот
nuance нюанс
numismatist нумизмат
nylon нейлон
oasis оазис
obelisk обелиск
oceanarium океанариум
October октябрь
oculist окулист
office офис
offshore офшорный
optimism оптимизм
orbit орбита
organ орган
organism организм
organizer органайзер
orgasm оргазм
ornament орнамент
oval овал
pack паковать, упаковка
packet пакет,пачка
paintball пейнтбол
pallet паллет
pamphlet памфлет
parade парад
paradox парадокс
paragraph параграф
parallelogram параллелограмм
parameters параметры
park парк
parliament парламент
parquet паркет
passport паспорт
pastor пастор
patriot патриот
pedal педаль, крутить педали
pedicure педикюр
penguin пингвин
penicillin пенициллин
period период
perpendicular перпендикуляр
persona персона
phenomena феномены
phenomenon феномен
photo фото
pick-up пикап
picnic пикник
piercing пирсинг
pigment пигмент
placebo плацебо
plastic пластик, пластиковый
plus плюс
poet поэт
poker покер
popcorn попкорн
porno порно
port порт
portrait портрет
positive позитивный, позитив
post пост
poster постер, плакат
postmodernism постмодернизм
premium премиум, премия
present презент, подарок
president президент
presidium президиум
press пресс, нажимать, пресса
pressing прессинг
press-release пресс-релиз
price list прайс-лист
printer принтер
producer продюсер, производитель
product продукт
professor профессор
progress прогресс
promoter промоутер
protege протеже
protein протеин
protest протест
protocol протокол
pub паб
pullover пуловер
punk панк
puzzle пазл
radar радар
radiator радиатор
radical радикал, радикальный
radio радио
radius радиус
raglan реглан
rap рэп
ravioli равиоли
